ID,Version,Timestamp,CVEs
org.mockito:mockito-core:2.26.0,2.26.0,1554388457000,No CVE
org.mockito:mockito-core:2.1.0,2.1.2000,1475497904000,No CVE
org.mockito:mockito-core:2.2.18,2.2.18,1479361779000,No CVE
org.mockito:mockito-core:2.25.0,2.25.0,1551804346000,No CVE
org.mockito:mockito-core:2.2.12,2.2.12,1478492949000,No CVE
org.mockito:mockito-core:2.2.19,2.2.19,1479371018000,No CVE
org.mockito:mockito-core:2.25.1,2.25.1,1552670924000,No CVE
org.mockito:mockito-core:2.2.15,2.2.15,1478637734000,No CVE
org.mockito:mockito-core:2.0.30-beta,2.0.30-beta,1437404126000,No CVE
org.mockito:mockito-core:5.7.0,5.7.2000,1698953393000,No CVE
org.mockito:mockito-core:2.24.5,2.24.5,1550503439000,No CVE
org.mockito:mockito-core:3.12.0,3.12.2000,1629384562000,No CVE
org.mockito:mockito-core:2.2.9,2.2.2009,1477426555000,No CVE
org.mockito:mockito-core:2.2.8,2.2.2008,1477306979000,No CVE
org.mockito:mockito-core:2.2.7,2.2.2007,1477127962000,No CVE
org.mockito:mockito-core:3.12.4,3.12.2004,1629923683000,No CVE
org.mockito:mockito-core:3.12.3,3.12.2003,1629831861000,No CVE
org.mockito:mockito-core:3.5.5,3.5.2005,1598127180000,No CVE
org.mockito:mockito-core:3.12.2,3.12.2002,1629808463000,No CVE
org.mockito:mockito-core:3.12.1,3.12.2001,1629469975000,No CVE
org.mockito:mockito-core:3.5.6,3.5.2006,1598307761000,No CVE
org.mockito:mockito-core:2.2.13,2.2.13,1478559547000,No CVE
org.mockito:mockito-core:2.6.0,2.6.2000,1484224898000,No CVE
org.mockito:mockito-core:2.0.65-beta,2.0.65-beta,1466365863000,No CVE
org.mockito:mockito-core:2.6.1,2.6.2001,1484229268000,No CVE
org.mockito:mockito-core:2.0.111-beta,2.0.111-beta,1471823167000,No CVE
org.mockito:mockito-core:2.3.6,2.3.2006,1481992549000,No CVE
org.mockito:mockito-core:3.5.9,3.5.2009,1598999937000,No CVE
org.mockito:mockito-core:2.2.17,2.2.17,1479236683000,No CVE
org.mockito:mockito-core:2.3.7,2.3.2007,1482035420000,No CVE
org.mockito:mockito-core:2.2.16,2.2.16,1479121966000,No CVE
org.mockito:mockito-core:2.0.25-beta,2.0.25-beta,1435641081000,No CVE
org.mockito:mockito-core:2.0.95-beta,2.0.95-beta,1470059247000,No CVE
org.mockito:mockito-core:2.15.0,2.15.0,1518278015000,No CVE
org.mockito:mockito-core:5.3.1,5.3.2001,1682099382000,No CVE
org.mockito:mockito-core:4.9.0,4.9.2000,1668452491000,No CVE
org.mockito:mockito-core:2.3.11,2.3.11,1482253372000,No CVE
org.mockito:mockito-core:3.5.7,3.5.2007,1598395244000,No CVE
org.mockito:mockito-core:2.3.10,2.3.10,1482159489000,No CVE
org.mockito:mockito-core:2.0.5-beta,2.0.5-beta,1424989848000,No CVE
org.mockito:mockito-core:3.0.0,3.0.0,1562594020000,No CVE
org.mockito:mockito-core:5.3.0,5.3.2000,1681240664000,No CVE
org.mockito:mockito-core:2.0.101-beta,2.0.101-beta,1471111450000,No CVE
org.mockito:mockito-core:2.0.11-beta,2.0.11-beta,1433375801000,No CVE
org.mockito:mockito-core:2.5.3,2.5.2003,1483375685000,No CVE
org.mockito:mockito-core:5.5.0,5.5.2000,1692690689000,No CVE
org.mockito:mockito-core:2.2.14,2.2.14,1478635830000,No CVE
org.mockito:mockito-core:2.6.2,2.6.2002,1484305044000,No CVE
org.mockito:mockito-core:2.5.1,2.5.2001,1483315987000,No CVE
org.mockito:mockito-core:2.5.0,2.5.2000,1482912584000,No CVE
org.mockito:mockito-core:2.5.2,2.5.2002,1483318218000,No CVE
org.mockito:mockito-core:2.0.92-beta,2.0.92-beta,1469755888000,No CVE
org.mockito:mockito-core:2.0.23-beta,2.0.23-beta,1435294610000,No CVE
org.mockito:mockito-core:4.11.0,4.11.2000,1672232797000,No CVE
org.mockito:mockito-core:2.20.0,2.20.0,1532407023000,No CVE
org.mockito:mockito-core:4.0.0,4.0.0,1633615945000,No CVE
org.mockito:mockito-core:2.18.3,2.18.3,1524235067000,No CVE
org.mockito:mockito-core:2.2.28,2.2.28,1480686265000,No CVE
org.mockito:mockito-core:2.23.4,2.23.4,1542755659000,No CVE
org.mockito:mockito-core:2.20.1,2.20.1,1532578855000,No CVE
org.mockito:mockito-core:2.2.23,2.2.23,1480083969000,No CVE
org.mockito:mockito-core:2.0.34-beta,2.0.34-beta,1451361606000,No CVE
org.mockito:mockito-core:2.0.71-beta,2.0.71-beta,1466674050000,No CVE
org.mockito:mockito-core:2.2.20,2.2.20,1479407420000,No CVE
org.mockito:mockito-core:2.2.29,2.2.29,1481116635000,No CVE
org.mockito:mockito-core:2.0.41-beta,2.0.41-beta,1453848689000,No CVE
org.mockito:mockito-core:2.7.19,2.7.19,1489932700000,No CVE
org.mockito:mockito-core:2.0.55-beta,2.0.55-beta,1465774826000,No CVE
org.mockito:mockito-core:3.11.2,3.11.2002,1624289078000,No CVE
